gene,day1r1,day1r2,day1r3,day3r1,day3r2,day3r3,day6r1,day6r2,day6r3,day9r2,day9r3
Cbr-bcl-7,10.35071531,10.17643159,10.191307,10.95578375,11.14086443,11.09859388,11.33800934,11.40380822,11.19669584,10.1700053,10.10541884
CBG09052,9.564557411,9.665080752,9.577682613,6.094184741,5.892266882,6.691397256,5.466554806,5.804702134,5.757626727,7.697868146,7.731455468
Cbr-zmp-1,5.881833377,6.126839755,5.930661095,5.716333885,5.984688334,5.891904444,5.793724044,6.00905615,6.07705853,6.225982539,6.332792489
CBG09055,6.125988887,6.264601213,6.235611627,5.109620104,5.032288234,5.891904444,5.721078359,6.183101141,6.055369451,7.743489294,7.948353991
CBG09056,5.473948251,4.877547594,4.88034749,5.03082764,5.512069586,5.565475341,6.603783695,6.594758025,6.978843175,5.539404278,5.775380278
Cbr-hpo-10,10.82844533,10.75157849,10.7361731,11.45157236,11.4838301,11.36786143,11.41599147,11.32840938,11.28867396,10.68117342,10.72241729
CBG09058,9.760354286,9.713494731,9.63131186,10.07822819,10.02901791,10.09400238,10.07142102,10.24294993,9.794032238,9.306923662,9.184661428
Cbr-mig-21,6.344622481,6.187771174,6.070917936,5.856707888,5.415257161,5.74106171,5.828314951,5.686517982,5.60514441,6.045166075,6.447920179
Cbr-aldo-2,14.79510672,14.95677654,14.84517562,14.80881364,14.85908559,14.9326109,14.79363897,14.83642808,14.9194245,14.48550031,14.49601712
CBG09061,7.637909626,7.827888979,7.761677252,7.463186448,7.543112288,7.523785298,7.148221146,7.398510219,7.311171088,7.375122327,7.687613002
CBG09062,13.05846539,13.09156865,12.99479825,13.97841856,14.11934314,14.07558226,14.12679848,14.19792781,14.21217282,13.17303643,12.93967759
CBG09063,9.805740328,9.711906867,9.644833602,10.33958001,10.40019474,10.49847741,10.51121452,10.4602166,10.48279696,9.802135199,9.554972543
CBG09064,10.14594948,10.13793753,10.07505095,10.56628329,10.57791371,10.56050782,10.59211006,10.56188869,10.59707093,9.753848005,9.679049608
CBG09065,9.65633545,9.590994708,9.591714676,9.703597036,9.679129386,9.729462689,10.03811536,10.0985466,9.7379557,9.871661704,9.730431765
Cbr-eng-1,8.471275608,8.411186314,8.397081717,8.338572318,8.595901485,8.382195366,8.262397021,8.411649848,8.146595907,8.225403445,8.290304445
Cbr-rabn-5,10.7791219,10.63832719,10.62208517,11.39115532,11.34078087,11.37121465,11.48762613,11.5611935,11.36716985,10.58650518,10.30446355
Cbr-dnpp-1,12.43940243,12.55084918,12.46741636,12.79770068,12.79829784,12.8050561,12.67213135,12.67144225,12.85974612,12.34642718,12.31483926
Cbr-dpf-4,11.56086234,11.59260974,11.54478922,11.25874352,11.31527694,11.34587342,11.27679518,11.19429499,11.25074412,11.66038509,11.73928255
Cbr-alh-9,12.20057872,12.15440468,12.21623999,11.84054235,11.8167814,11.92409803,12.03959116,11.9891522,11.69693978,12.14082919,12.20195281
CBG09071,10.36594193,10.26027481,10.28492427,6.172294915,5.464914717,6.872175597,5.926116535,5.504653033,5.757626727,8.670996354,8.86300488
Cbr-cct-6,13.06903675,13.11637278,13.08476547,13.7565631,13.72930641,13.79045016,13.52327962,13.52080552,13.61424442,13.07688335,13.05830265
Cbr-ddx-23,12.06915064,11.96721321,12.01306988,12.43717818,12.42488828,12.40472487,12.54612469,12.48675471,12.40843804,11.66234744,11.48985669
Cbr-mdt-15,12.0459866,11.705369,11.93924852,12.55729136,12.40952017,12.27707541,12.37985117,12.20265755,12.28172439,12.01389515,11.73738202
CBG09078,6.050067155,6.354459673,5.95523386,6.632480392,6.935709794,6.314773294,6.321460957,6.28675897,6.508457761,6.651031333,6.524290041
CBG09080,5.048474364,4.781293567,4.783592362,5.554535623,5.512069586,5.772925789,5.986971065,6.183101141,5.865759352,5.510801458,5.194200602
Cbr-rev-3,9.257509518,9.029777558,9.189620074,9.970530473,9.885263501,9.683422193,9.774797952,9.753234525,9.666675954,9.173704146,8.90160298
Cbr-polq-1,10.94990424,10.67218532,10.84774931,11.95753077,11.76796449,11.764955,11.72133074,11.64041591,11.63732237,11.21403635,10.89330257
Cbr-ceh-10,5.201701642,5.20456896,5.352184743,5.462599498,5.415257161,5.443125599,5.248263189,5.057398743,5.200608361,5.202240958,5.562806102
Cbr-him-10,11.68993342,11.60206484,11.59220559,12.35073341,12.33891197,12.36182642,12.37636657,12.28400281,12.31264763,11.43215065,11.22762731
CBG09088,7.827416964,7.736378444,7.943483583,7.424195209,7.746645246,7.648274167,7.669006404,8.035682006,7.737546968,7.881237857,7.719066977
Cbr-sma-4,9.570758108,9.769522911,9.605611387,9.468489141,9.479147126,9.408704102,9.999085032,9.868106187,10.16773454,10.02701499,10.16433855
CBG09093,5.329103549,4.95824806,5.096444643,5.03082764,5.18214647,5.064820786,4.835038128,4.85230617,5.297855082,5.671259409,5.85498716
Cbr-ida-1,10.83875286,10.88361885,10.87021601,10.72800553,10.52183584,10.45594111,10.63516567,10.56786233,10.74044559,11.35901898,11.21675492
CBG09097,5.473948251,4.781293567,5.209020287,5.180381281,5.18214647,4.990503977,5.033323069,5.341377832,4.779248828,5.481322306,5.455907932
CBG09100,5.439849304,5.70528216,5.54861583,5.554535623,5.859726129,5.301949903,5.183397053,4.96396192,5.342471116,6.628862429,6.463557417
Cbr-rpt-3,12.14845155,12.20858247,12.19026788,12.44650437,12.5624239,12.58712082,12.68755108,12.71084025,12.65494425,12.06621412,12.045166
CBG09102,10.8736335,10.7052668,10.88737238,5.823255359,5.641254097,7.142882444,5.416830688,5.504653033,5.342471116,9.193765947,9.277668414
Cbr-zip-8,4.921895561,5.20456896,4.348656253,5.856707888,6.426752022,4.990503977,5.416830688,5.212478471,5.025780543,5.95301847,5.243947356
Cbr-thoc-2,11.91847706,11.78375164,11.83073594,12.19166212,12.06413581,12.05600222,12.02347911,11.96128902,11.93180318,11.6442586,11.38109711
CBG09106,9.114082514,9.168323042,8.96531312,9.363041783,9.525541039,9.46003675,9.211686508,9.466354261,9.507144957,8.956012058,8.758713042
Cbr-akap-1,13.9267633,13.88272346,13.90696472,14.33331555,14.30146559,14.31515067,14.30114895,14.23321246,14.48616235,13.78899874,13.63684756
CBG09110,9.410583139,9.193589879,9.166355639,9.573351336,9.443343927,9.457934023,9.476255593,9.321021969,9.281791659,8.673599448,8.626620317
CBG09111,6.125988887,6.661889922,6.310410949,6.0391595,6.150290971,6.253686656,6.548228267,6.261640348,6.397054391,6.30015939,6.107081214
Cbr-let-716,12.65904579,12.41894911,12.51854613,12.23293043,12.06492078,12.10448845,11.71783045,11.50751167,11.8118268,12.23481429,11.98556854
