Geneid	"RNA STAR on data 17, data 15, and data 9: mapped.bam"	Public Name
WBGene00000370	8583	ccg-1
WBGene00000371	11523	cox-5B
WBGene00000372	30	cyp-13A7
WBGene00000373	739	cyp-14A5
WBGene00000374	609	cyp-31A1
WBGene00000375	3307	cyp-44A1
WBGene00000376	51722	ccr-4
WBGene00000377	31658	cct-1
WBGene00000378	23463	cct-2
WBGene00000379	30226	cct-4
WBGene00000380	42685	cct-5
WBGene00000381	25439	cct-6
WBGene00000382	8937	cdc-6
WBGene00000383	15212	cdc-14
WBGene00000386	22739	cdc-25.1
WBGene00000387	5462	cdc-25.2
WBGene00000388	2827	cdc-25.3
WBGene00000389	3	cdc-25.4
WBGene00000390	19222	cdc-42
WBGene00000391	110	cdd-1
WBGene00000392	2197	cdd-2
WBGene00000393	1958	cdf-1
WBGene00000395	1043	cdh-3
WBGene00000396	19792	cdh-4
WBGene00000397	223	cdh-5
WBGene00000399	45	cdh-7
WBGene00000401	209	cdh-9
WBGene00000402	161	cdh-10
WBGene00000403	4154	casy-1
WBGene00000405	26557	cdk-1
WBGene00000406	989	cdk-4
WBGene00000407	3412	cdk-5
WBGene00000408	6307	cdk-7
WBGene00000409	7762	cdk-8
WBGene00000410	3983	cdk-9
WBGene00000411	31801	cdl-1
WBGene00000412	127	cdr-1
WBGene00000413	8518	cdt-1
WBGene00000414	2387	cec-1
WBGene00000415	10977	ced-1
WBGene00000416	6759	ced-2
WBGene00000417	18692	ced-3
WBGene00000418	3553	ced-4
WBGene00000419	11459	ced-5
WBGene00000420	5791	ced-6
WBGene00000421	29698	ced-7
WBGene00000422	448	ced-8
WBGene00000423	8563	ced-9
WBGene00000424	4140	ced-10
WBGene00000425	927	ced-11
WBGene00000426	9785	ced-12
WBGene00000427	11	ced-13
WBGene00000428	43	ceh-1
WBGene00000429	10	ceh-2
WBGene00000430	39	ceh-5
WBGene00000431	62	ceh-6
WBGene00000432	3	ceh-7
WBGene00000433	32	ceh-8
